,Accuracy,Count,Slices,Min_lenght_seq,Max_lenght_elem
0,37.537,9632,11,12,10
1,37.656,9605,11,13,10
2,37.751,9579,11,14,10
3,37.845,9559,11,15,10
4,37.964,9537,11,16,10
5,38.081,9526,11,17,10
6,38.154,9503,11,18,10
7,38.234,9479,11,19,10
8,35.118,8699,12,13,10
9,35.196,8679,12,14,10
10,35.297,8663,12,15,10
11,35.425,8642,12,16,10
12,35.55,8630,12,17,10
13,35.607,8609,12,18,10
14,35.666,8583,12,19,10
15,42.517,10500,13,14,10
16,42.596,10479,13,15,10
17,42.737,10447,13,16,10
18,42.859,10426,13,17,10
19,42.955,10405,13,18,10
20,43.01,10374,13,19,10
21,40.689,9655,14,15,10
22,40.801,9623,14,16,10
23,40.926,9605,14,17,10
24,41.013,9586,14,18,10
25,41.066,9559,14,19,10
26,85.19,7495,15,16,10
27,85.226,7482,15,17,10
28,85.217,7471,15,18,10
29,85.245,7453,15,19,10
30,89.685,6851,16,17,10
31,89.671,6841,16,18,10
32,89.695,6824,16,19,10
33,92.208,6414,17,18,10
34,92.243,6398,17,19,10
35,94.399,6084,18,19,10
36,35.578,9087,12,13,11
37,35.662,9067,12,14,11
38,35.773,9051,12,15,11
39,35.903,9029,12,16,11
40,36.035,9013,12,17,11
41,36.1,8991,12,18,11
42,36.158,8960,12,19,11
43,42.947,10964,13,14,11
44,43.032,10943,13,15,11
45,43.179,10910,13,16,11
46,43.31,10885,13,17,11
47,43.41,10863,13,18,11
48,43.472,10828,13,19,11
49,41.205,10101,14,15,11
50,41.328,10068,14,16,11
51,41.456,10046,14,17,11
52,41.552,10026,14,18,11
53,41.604,9995,14,19,11
54,85.77,7908,15,16,11
55,85.8,7891,15,17,11
56,85.792,7880,15,18,11
57,85.814,7858,15,19,11
58,90.191,7255,16,17,11
59,90.179,7245,16,18,11
60,90.199,7224,16,19,11
61,92.605,6812,17,18,11
62,92.648,6792,17,19,11
63,94.705,6474,18,19,11
64,43.382,11462,13,14,12
65,43.479,11441,13,15,12
66,43.648,11407,13,16,12
67,43.799,11382,13,17,12
68,43.904,11357,13,18,12
69,43.971,11322,13,19,12
70,41.698,10577,14,15,12
71,41.837,10543,14,16,12
72,41.982,10521,14,17,12
73,42.095,10498,14,18,12
74,42.155,10467,14,19,12
75,86.368,8344,15,16,12
76,86.398,8327,15,17,12
77,86.387,8313,15,18,12
78,86.41,8291,15,19,12
79,90.664,7682,16,17,12
80,90.65,7669,16,18,12
81,90.67,7648,16,19,12
82,92.993,7220,17,18,12
83,93.035,7200,17,19,12
84,94.996,6872,18,19,12
85,42.203,11028,14,15,13
86,42.356,10994,14,16,13
87,42.534,10970,14,17,13
88,42.665,10947,14,18,13
89,42.734,10915,14,19,13
90,86.877,8765,15,16,13
91,86.904,8746,15,17,13
92,86.894,8732,15,18,13
93,86.916,8709,15,19,13
94,91.055,8093,16,17,13
95,91.042,8080,16,18,13
96,91.061,8058,16,19,13
97,93.31,7615,17,18,13
98,93.35,7594,17,19,13
99,95.227,7263,18,19,13
100,87.495,9292,15,16,14
101,87.521,9272,15,17,14
102,87.513,9258,15,18,14
103,87.534,9234,15,19,14
104,91.512,8604,16,17,14
105,91.501,8591,16,18,14
106,91.519,8568,16,19,14
107,93.67,8124,17,18,14
108,93.708,8102,17,19,14
109,95.484,7759,18,19,14
110,91.837,8989,16,17,15
111,91.824,8973,16,18,15
112,91.841,8949,16,19,15
113,93.921,8497,17,18,15
114,93.957,8474,17,19,15
115,95.667,8124,18,19,15
116,93.876,8769,17,18,16
117,93.907,8723,17,19,16
118,95.574,8357,18,19,16
119,94.178,8444,18,19,17
