,Accuracy,Count,Max_unique_el,Min_lenght_seq,k
0,0.6784059314179796,1079,2,6,1
1,0.6495934959349593,2460,3,6,1
2,0.6042998256827425,3442,4,6,1
3,0.5889172269881753,4313,5,6,1
4,0.5604142692750288,5214,6,6,1
5,0.6663507109004739,1055,2,15,1
6,0.6528239202657807,2408,3,15,1
7,0.6178667463400059,3347,4,15,1
8,0.5930735930735931,4158,5,15,1
9,0.5744851029794041,5001,6,15,1
10,0.673352435530086,1047,2,20,1
11,0.6522832006702974,2387,3,20,1
12,0.6171497584541062,3312,4,20,1
13,0.6021452949780595,4102,5,20,1
14,0.5762059181191731,4934,6,20,1
15,0.688588007736944,1034,2,30,1
16,0.6673755848575075,2351,3,30,1
17,0.6168711656441718,3260,4,30,1
18,0.6031824962705122,4022,5,30,1
19,0.581727781230578,4827,6,30,1
20,0.6758349705304518,1018,2,45,1
21,0.6760259179265659,2315,3,45,1
22,0.6219931271477663,3201,4,45,1
23,0.6023362112747588,3938,5,45,1
24,0.5905411163187048,4694,6,45,1
25,0.6913809082483782,1079,2,6,2
26,0.6829268292682927,2460,3,6,2
27,0.6426496223126089,3442,4,6,2
28,0.6188268026895433,4313,5,6,2
29,0.5949367088607594,5214,6,6,2
30,0.6777251184834123,1055,2,15,2
31,0.6960132890365448,2408,3,15,2
32,0.6567074992530625,3347,4,15,2
33,0.6216931216931217,4158,5,15,2
34,0.6046790641871626,5001,6,15,2
35,0.6934097421203438,1047,2,20,2
36,0.676581483033096,2387,3,20,2
37,0.6527777777777778,3312,4,20,2
38,0.6272549975621649,4102,5,20,2
39,0.6151195784353466,4934,6,20,2
40,0.6943907156673114,1034,2,30,2
41,0.6911952360697575,2351,3,30,2
42,0.6650306748466258,3260,4,30,2
43,0.6352560914967678,4022,5,30,2
44,0.619432359643671,4827,6,30,2
45,0.6886051080550099,1018,2,45,2
46,0.6876889848812096,2315,3,45,2
47,0.662293033427054,3201,4,45,2
48,0.6404266124936516,3938,5,45,2
49,0.6278227524499361,4694,6,45,2
50,0.7377201112140871,1079,2,6,3
51,0.7357723577235772,2460,3,6,3
52,0.6993027309703661,3442,4,6,3
53,0.6807326686760955,4313,5,6,3
54,0.6628308400460299,5214,6,6,3
55,0.7393364928909952,1055,2,15,3
56,0.742109634551495,2408,3,15,3
57,0.7107857783089334,3347,4,15,3
58,0.6907166907166907,4158,5,15,3
59,0.6702659468106379,5001,6,15,3
60,0.7363896848137536,1047,2,20,3
61,0.7478005865102639,2387,3,20,3
62,0.7204106280193237,3312,4,20,3
63,0.7023403217942467,4102,5,20,3
64,0.6789623023915687,4934,6,20,3
65,0.741779497098646,1034,2,30,3
66,0.7520204168438962,2351,3,30,3
67,0.7101226993865031,3260,4,30,3
68,0.7033814022874192,4022,5,30,3
69,0.6782680754091568,4827,6,30,3
70,0.7445972495088409,1018,2,45,3
71,0.7542116630669546,2315,3,45,3
72,0.7238363011558888,3201,4,45,3
73,0.6973082783138649,3938,5,45,3
74,0.6832126118449084,4694,6,45,3
75,0.7442075996292864,1079,2,6,4
76,0.7414634146341463,2460,3,6,4
77,0.7129575828006973,3442,4,6,4
78,0.6941803848829121,4313,5,6,4
79,0.6703107019562716,5214,6,6,4
80,0.7488151658767772,1055,2,15,4
81,0.7508305647840532,2408,3,15,4
82,0.7251269793845234,3347,4,15,4
83,0.7126022126022126,4158,5,15,4
84,0.6912617476504699,5001,6,15,4
85,0.7478510028653295,1047,2,20,4
86,0.7452869710934227,2387,3,20,4
87,0.7270531400966184,3312,4,20,4
88,0.7159921989273526,4102,5,20,4
89,0.7026753141467369,4934,6,20,4
90,0.7485493230174082,1034,2,30,4
91,0.7571246278179498,2351,3,30,4
92,0.7361963190184049,3260,4,30,4
93,0.7217802088513178,4022,5,30,4
94,0.7006422208411022,4827,6,30,4
95,0.768172888015717,1018,2,45,4
96,0.7563714902807775,2315,3,45,4
97,0.7397688222430491,3201,4,45,4
98,0.7221940071102082,3938,5,45,4
99,0.7055815935236472,4694,6,45,4
100,0.7599629286376274,1079,2,6,5
101,0.7670731707317073,2460,3,6,5
102,0.7361998837884951,3442,4,6,5
103,0.7124971017853002,4313,5,6,5
104,0.6864211737629459,5214,6,6,5
105,0.7781990521327015,1055,2,15,5
106,0.7811461794019934,2408,3,15,5
107,0.7496265312219899,3347,4,15,5
108,0.7349687349687349,4158,5,15,5
109,0.7106578684263147,5001,6,15,5
110,0.76981852913085,1047,2,20,5
111,0.7754503560955174,2387,3,20,5
112,0.7493961352657005,3312,4,20,5
113,0.7303754266211604,4102,5,20,5
114,0.7117957032833401,4934,6,20,5
115,0.7843326885880078,1034,2,30,5
116,0.7839217354317312,2351,3,30,5
117,0.7447852760736197,3260,4,30,5
118,0.73843858776728,4022,5,30,5
119,0.7165941578620261,4827,6,30,5
120,0.7779960707269156,1018,2,45,5
121,0.7809935205183586,2315,3,45,5
122,0.7569509528272415,3201,4,45,5
123,0.7425088877602845,3938,5,45,5
124,0.726033233915637,4694,6,45,5
